policy,maintenance_events,failure_events,high_risk_days,avg_degradation,max_degradation,avg_health_score,maintenance_cost,failure_cost,total_cost,planned_maintenance_downtime_hours,failure_downtime_hours,total_downtime_hours
OEM 2000h,7,0,307,0.46903038561313976,0.9194770089649402,53.09696143868602,3500,0,3500,28,0,28
OEM 4000h,0,2,551,0.5839662818932941,0.9964196505964137,41.60337181067059,0,50000,50000,0,96,96
OEM 6000h,0,2,551,0.5839662818932941,0.9964196505964137,41.60337181067059,0,50000,50000,0,96,96
Random Forest PdM,13,0,26,0.3333526426518167,0.7020948336448476,66.66473573481834,6500,0,6500,52,0,52
XGBoost PdM,11,0,80,0.3625846737280868,0.8496614473054379,63.741532627191326,5500,0,5500,44,0,44
